selected_file,scanned_residues,reported_variants,completeness,completeness_group
urn-mavedb-00000159-a-1.scores.csv,57,1254,1.1,c > 1
urn-mavedb-00000120-0-1.scores.csv,58,1271,1.0956896551724138,c > 1
urn-mavedb-00000076-d-1.scores.csv,27,535,0.9907407407407407,0.9 ≤ c < 1
urn-mavedb-00000553-a-2.scores.csv,47,1029,1.0946808510638297,c > 1
urn-mavedb-00000985-a-1.scores.csv,22,409,0.9295454545454546,0.9 ≤ c < 1
urn-mavedb-00000959-a-1.scores.csv,56,1078,0.9625,0.9 ≤ c < 1
urn-mavedb-00000724-a-1.scores.csv,53,1048,0.9886792452830189,0.9 ≤ c < 1
urn-mavedb-00000163-a-2.scores.csv,64,1755,1.37109375,c > 1
urn-mavedb-00000353-a-1.scores.csv,37,922,1.2459459459459459,c > 1
urn-mavedb-00000900-a-1.scores.csv,45,833,0.9255555555555556,0.9 ≤ c < 1
urn-mavedb-00000672-b-2.scores.csv,317,6249,0.9856466876971609,0.9 ≤ c < 1
urn-mavedb-00000475-a-1.scores.csv,43,939,1.091860465116279,c > 1
urn-mavedb-00001046-a-1.scores.csv,59,1133,0.9601694915254237,0.9 ≤ c < 1
urn-mavedb-00000754-a-1.scores.csv,66,1276,0.9666666666666667,0.9 ≤ c < 1
urn-mavedb-00000100-a-1.scores.csv,276,4508,0.8166666666666667,0.8 ≤ c < 0.9
urn-mavedb-00000650-0-1.scores.csv,47,1025,1.0904255319148937,c > 1
urn-mavedb-00000616-a-2.scores.csv,49,1072,1.0938775510204082,c > 1
urn-mavedb-00000191-a-2.scores.csv,71,1558,1.0971830985915494,c > 1
urn-mavedb-00000502-a-1.scores.csv,43,938,1.0906976744186045,c > 1
urn-mavedb-00000548-a-1.scores.csv,47,1029,1.0946808510638297,c > 1
urn-mavedb-00000636-0-1.scores.csv,70,1539,1.0992857142857142,c > 1
urn-mavedb-00000380-0-1.scores.csv,68,1763,1.2963235294117648,c > 1
urn-mavedb-00000510-a-1.scores.csv,40,853,1.06625,c > 1
urn-mavedb-00000631-a-1.scores.csv,56,1231,1.0991071428571428,c > 1
urn-mavedb-00000811-a-1.scores.csv,60,1184,0.9866666666666667,0.9 ≤ c < 1
urn-mavedb-00000772-a-1.scores.csv,40,785,0.98125,0.9 ≤ c < 1
urn-mavedb-00000039-a-3.scores.csv,9,189,1.05,c > 1
urn-mavedb-00000610-a-1.scores.csv,49,1077,1.0989795918367347,c > 1
urn-mavedb-00001127-a-1.scores.csv,43,831,0.9662790697674418,0.9 ≤ c < 1
urn-mavedb-00000325-a-2.scores.csv,72,1796,1.2472222222222222,c > 1
urn-mavedb-00000228-0-1.scores.csv,54,971,0.899074074074074,0.8 ≤ c < 0.9
urn-mavedb-00000558-a-1.scores.csv,43,933,1.0848837209302327,c > 1
urn-mavedb-00000458-a-1.scores.csv,47,1029,1.0946808510638297,c > 1
urn-mavedb-00001054-a-1.scores.csv,50,932,0.932,0.9 ≤ c < 1
urn-mavedb-00000904-a-1.scores.csv,85,1663,0.9782352941176471,0.9 ≤ c < 1
urn-mavedb-00000373-a-1.scores.csv,70,1529,1.092142857142857,c > 1
urn-mavedb-00000079-a-1.scores.csv,303,5106,0.8425742574257425,0.8 ≤ c < 0.9
urn-mavedb-00000103-b-1.scores.csv,359,6810,0.9484679665738162,0.9 ≤ c < 1
urn-mavedb-00000336-a-1.scores.csv,33,792,1.2,c > 1
urn-mavedb-00000969-a-1.scores.csv,75,827,0.5513333333333333,0.5 ≤ c < 0.6
urn-mavedb-00000177-0-1.scores.csv,59,1295,1.097457627118644,c > 1
urn-mavedb-00000273-a-1.scores.csv,65,1421,1.093076923076923,c > 1
urn-mavedb-00000434-a-2.scores.csv,56,1590,1.4196428571428572,c > 1
urn-mavedb-00000097-c-1.scores.csv,1,155,7.75,c > 1
urn-mavedb-00000442-a-2.scores.csv,64,1390,1.0859375,c > 1
urn-mavedb-00000405-0-1.scores.csv,44,1315,1.4943181818181819,c > 1
urn-mavedb-00000411-a-2.scores.csv,59,1296,1.0983050847457627,c > 1
urn-mavedb-00000503-a-1.scores.csv,43,944,1.0976744186046512,c > 1
urn-mavedb-00000630-a-2.scores.csv,66,1452,1.1,c > 1
urn-mavedb-00000696-a-1.scores.csv,56,1113,0.99375,0.9 ≤ c < 1
urn-mavedb-00000457-a-1.scores.csv,47,1027,1.0925531914893618,c > 1
urn-mavedb-00000394-a-2.scores.csv,69,5016,3.634782608695652,c > 1
urn-mavedb-00000063-b-1.scores.csv,159,2542,0.79937106918239,0.7 ≤ c < 0.8
urn-mavedb-00000518-a-2.scores.csv,40,858,1.0725,c > 1
urn-mavedb-00000156-0-1.scores.csv,55,1209,1.0990909090909091,c > 1
urn-mavedb-00001216-a-1.scores.csv,1100,22806,1.0366363636363636,c > 1
urn-mavedb-00000344-a-2.scores.csv,47,1724,1.8340425531914895,c > 1
urn-mavedb-00000771-a-1.scores.csv,56,1054,0.9410714285714286,0.9 ≤ c < 1
urn-mavedb-00000100-b-1.scores.csv,286,280,0.04895104895104895,0 < c < 0.1
urn-mavedb-00000285-a-2.scores.csv,58,1630,1.4051724137931034,c > 1
urn-mavedb-00001005-a-1.scores.csv,31,598,0.964516129032258,0.9 ≤ c < 1
urn-mavedb-00000542-0-1.scores.csv,47,1023,1.0882978723404255,c > 1
urn-mavedb-00000624-a-1.scores.csv,56,1228,1.0964285714285715,c > 1
urn-mavedb-00000086-f-1.scores.csv,263,4978,0.9463878326996198,0.9 ≤ c < 1
urn-mavedb-00001234-g-1.scores.csv,392,2314,0.2951530612244898,0.2 ≤ c < 0.3
urn-mavedb-00000094-a-10.scores.csv,64,76,0.059375,0 < c < 0.1
urn-mavedb-00001214-l-2.scores.csv,49,970,0.9897959183673469,0.9 ≤ c < 1
urn-mavedb-00000419-a-1.scores.csv,59,1657,1.4042372881355931,c > 1
urn-mavedb-00001052-a-1.scores.csv,51,996,0.9764705882352941,0.9 ≤ c < 1
urn-mavedb-00000115-a-10.scores.csv,63,4515,3.5833333333333335,c > 1
urn-mavedb-00000208-a-1.scores.csv,65,3593,2.763846153846154,c > 1
urn-mavedb-00001183-a-1.scores.csv,40,658,0.8225,0.8 ≤ c < 0.9
urn-mavedb-00000069-a-1.scores.csv,117,2340,1.0,1
urn-mavedb-00000226-a-1.scores.csv,54,971,0.899074074074074,0.8 ≤ c < 0.9
urn-mavedb-00000277-a-1.scores.csv,52,1860,1.7884615384615385,c > 1
urn-mavedb-00000514-a-1.scores.csv,40,1170,1.4625,c > 1
urn-mavedb-00000090-a-1.scores.csv,83,1659,0.9993975903614458,0.9 ≤ c < 1
urn-mavedb-00000347-a-1.scores.csv,55,2293,2.0845454545454545,c > 1
urn-mavedb-00000789-a-1.scores.csv,93,1245,0.6693548387096774,0.6 ≤ c < 0.7
urn-mavedb-00000171-a-2.scores.csv,56,1225,1.09375,c > 1
urn-mavedb-00001106-a-1.scores.csv,96,1882,0.9802083333333333,0.9 ≤ c < 1
urn-mavedb-00000585-a-1.scores.csv,43,928,1.0790697674418606,c > 1
urn-mavedb-00000359-a-2.scores.csv,30,632,1.0533333333333332,c > 1
urn-mavedb-00000607-0-1.scores.csv,47,1033,1.098936170212766,c > 1
urn-mavedb-00001090-a-1.scores.csv,72,1349,0.9368055555555556,0.9 ≤ c < 1
urn-mavedb-00000666-a-1.scores.csv,170,1850,0.5441176470588235,0.5 ≤ c < 0.6
urn-mavedb-00000481-0-1.scores.csv,43,928,1.0790697674418606,c > 1
urn-mavedb-00000627-0-1.scores.csv,48,1054,1.0979166666666667,c > 1
urn-mavedb-00000059-a-1.scores.csv,192,9273,2.41484375,c > 1
urn-mavedb-00000514-0-1.scores.csv,40,1170,1.4625,c > 1
urn-mavedb-00000081-a-1.scores.csv,175,1059,0.30257142857142855,0.3 ≤ c < 0.4
urn-mavedb-00000345-a-1.scores.csv,47,1030,1.0957446808510638,c > 1
urn-mavedb-00000215-a-1.scores.csv,41,880,1.0731707317073171,c > 1
urn-mavedb-00000934-a-1.scores.csv,46,896,0.9739130434782609,0.9 ≤ c < 1
urn-mavedb-00000891-a-1.scores.csv,84,1552,0.9238095238095239,0.9 ≤ c < 1
urn-mavedb-00000343-a-1.scores.csv,55,1569,1.4263636363636363,c > 1
urn-mavedb-00001218-a-1.scores.csv,270,4839,0.8961111111111111,0.8 ≤ c < 0.9
urn-mavedb-00000266-a-1.scores.csv,62,1362,1.0983870967741935,c > 1
urn-mavedb-00000153-0-1.scores.csv,39,1022,1.3102564102564103,c > 1
urn-mavedb-00000065-a-1.scores.csv,189,3341,0.8838624338624339,0.8 ≤ c < 0.9
urn-mavedb-00000925-a-1.scores.csv,66,1304,0.9878787878787879,0.9 ≤ c < 1
urn-mavedb-00000419-a-2.scores.csv,59,1657,1.4042372881355931,c > 1
urn-mavedb-00000197-a-2.scores.csv,72,1434,0.9958333333333333,0.9 ≤ c < 1
urn-mavedb-00000250-a-2.scores.csv,57,1251,1.0973684210526315,c > 1
urn-mavedb-00000305-a-2.scores.csv,57,1612,1.4140350877192982,c > 1
urn-mavedb-00000261-a-1.scores.csv,71,4594,3.2352112676056337,c > 1
urn-mavedb-00000149-0-1.scores.csv,56,1225,1.09375,c > 1
urn-mavedb-00000141-a-1.scores.csv,57,1247,1.093859649122807,c > 1
urn-mavedb-00001200-b-1.scores.csv,461,9009,0.9771149674620391,0.9 ≤ c < 1
urn-mavedb-00000519-a-1.scores.csv,40,1211,1.51375,c > 1
urn-mavedb-00000382-a-1.scores.csv,41,1592,1.9414634146341463,c > 1
urn-mavedb-00000627-a-1.scores.csv,48,1054,1.0979166666666667,c > 1
urn-mavedb-00000478-a-1.scores.csv,43,932,1.083720930232558,c > 1
urn-mavedb-00000481-a-1.scores.csv,43,928,1.0790697674418606,c > 1
urn-mavedb-00000268-a-1.scores.csv,64,2129,1.66328125,c > 1
urn-mavedb-00000944-a-1.scores.csv,58,1131,0.975,0.9 ≤ c < 1
urn-mavedb-00000169-a-2.scores.csv,56,2198,1.9625,c > 1
urn-mavedb-00000512-a-1.scores.csv,40,858,1.0725,c > 1
urn-mavedb-00000346-a-1.scores.csv,47,1031,1.0968085106382979,c > 1
urn-mavedb-00000369-a-1.scores.csv,72,2520,1.75,c > 1
urn-mavedb-00000127-a-2.scores.csv,56,1227,1.0955357142857143,c > 1
urn-mavedb-00001214-i-1.scores.csv,49,978,0.9979591836734694,0.9 ≤ c < 1
urn-mavedb-00000132-a-2.scores.csv,67,1468,1.0955223880597016,c > 1
urn-mavedb-00000106-c-1.scores.csv,11,231,1.05,c > 1
urn-mavedb-00000447-0-1.scores.csv,56,1224,1.0928571428571427,c > 1
urn-mavedb-00000813-a-1.scores.csv,90,1784,0.9911111111111112,0.9 ≤ c < 1
urn-mavedb-00000586-a-1.scores.csv,43,933,1.0848837209302327,c > 1
urn-mavedb-00000849-a-1.scores.csv,74,1480,1.0,1
urn-mavedb-00000134-a-2.scores.csv,61,1695,1.389344262295082,c > 1
urn-mavedb-00000176-a-2.scores.csv,59,1295,1.097457627118644,c > 1
urn-mavedb-00000257-a-2.scores.csv,56,1954,1.7446428571428572,c > 1
urn-mavedb-00000398-0-1.scores.csv,44,965,1.0965909090909092,c > 1
urn-mavedb-00000122-a-1.scores.csv,69,1516,1.098550724637681,c > 1
urn-mavedb-00000078-b-1.scores.csv,162,2910,0.8981481481481481,0.8 ≤ c < 0.9
urn-mavedb-00000611-a-2.scores.csv,49,1077,1.0989795918367347,c > 1
urn-mavedb-00000599-a-2.scores.csv,43,936,1.0883720930232559,c > 1
urn-mavedb-00000758-a-1.scores.csv,68,1338,0.9838235294117647,0.9 ≤ c < 1
urn-mavedb-00000217-0-1.scores.csv,66,1452,1.1,c > 1
urn-mavedb-00000581-0-1.scores.csv,43,941,1.094186046511628,c > 1
urn-mavedb-00000515-a-1.scores.csv,40,1221,1.52625,c > 1
urn-mavedb-00001088-a-1.scores.csv,39,676,0.8666666666666667,0.8 ≤ c < 0.9
urn-mavedb-00001053-a-1.scores.csv,51,996,0.9764705882352941,0.9 ≤ c < 1
urn-mavedb-00000523-0-1.scores.csv,40,850,1.0625,c > 1
urn-mavedb-00000061-h-1.scores.csv,39,297,0.38076923076923075,0.3 ≤ c < 0.4
urn-mavedb-00000151-a-1.scores.csv,57,2337,2.05,c > 1
urn-mavedb-00000115-a-17.scores.csv,64,6893,5.38515625,c > 1
urn-mavedb-00000632-a-2.scores.csv,51,1122,1.1,c > 1
urn-mavedb-00000366-a-2.scores.csv,56,1229,1.0973214285714286,c > 1
urn-mavedb-00000716-a-1.scores.csv,46,896,0.9739130434782609,0.9 ≤ c < 1
urn-mavedb-00000968-a-1.scores.csv,70,1336,0.9542857142857143,0.9 ≤ c < 1
urn-mavedb-00000339-a-1.scores.csv,69,2596,1.8811594202898552,c > 1
urn-mavedb-00000708-a-1.scores.csv,76,1512,0.9947368421052631,0.9 ≤ c < 1
urn-mavedb-00000349-0-1.scores.csv,71,1923,1.3542253521126761,c > 1
urn-mavedb-00000681-a-1.scores.csv,63,1206,0.9571428571428572,0.9 ≤ c < 1
urn-mavedb-00000642-0-1.scores.csv,47,1026,1.0914893617021277,c > 1
urn-mavedb-00000372-0-1.scores.csv,62,1357,1.0943548387096773,c > 1
urn-mavedb-00000674-a-1.scores.csv,127,2539,0.9996062992125985,0.9 ≤ c < 1
urn-mavedb-00000265-0-1.scores.csv,62,1362,1.0983870967741935,c > 1
urn-mavedb-00000561-a-1.scores.csv,43,924,1.0744186046511628,c > 1
urn-mavedb-00000466-0-1.scores.csv,47,1031,1.0968085106382979,c > 1
urn-mavedb-00000215-0-1.scores.csv,41,880,1.0731707317073171,c > 1
urn-mavedb-00000508-a-2.scores.csv,43,914,1.0627906976744186,c > 1
urn-mavedb-00000198-a-2.scores.csv,72,1439,0.9993055555555556,0.9 ≤ c < 1
urn-mavedb-00000115-a-18.scores.csv,63,11096,8.806349206349207,c > 1
urn-mavedb-00000255-0-1.scores.csv,50,3403,3.403,c > 1
urn-mavedb-00001073-a-1.scores.csv,24,480,1.0,1
urn-mavedb-00000780-a-1.scores.csv,62,1168,0.9419354838709677,0.9 ≤ c < 1
