,completeness,repeat,dms_id,pred_score,envision_pred,fdms_pred,lasso_pred,row-mean_pred,wu2019_pred,vefill-min_pred,vefill-max_pred,vefill-min_pears_dyn_mean,vefill-max_pears_dyn_mean,5nn-blosum100_pears_any,5nn-blosum100_pears_3to5,5nn-blosum100_pears_5,5nn-functional_pears_any,5nn-functional_pears_3to5,5nn-functional_pears_5
1182,0.4,0,urn:mavedb:00000048-a-1,0.5478540537,0.5332890951,0.3958928452,0.4142970129,0.3865554023,0.4476765182,0.6229174752,,0.570722406,,0.2645997851,0.2658307788,0.2584871819,0.369161517,0.3730362032,0.3961774376
310,0.4,0,urn:mavedb:00000048-b-1,0.3572964605,0.3465652358,0.2456774759,0.2918692618,0.2689029607,0.3154717332,0.4490658662,,0.4040125084,,0.2104164856,0.2138362939,0.2425104816,0.3240877888,0.3309934299,0.3620882759
531,0.4,0,urn:mavedb:00000048-c-1,0.2598438028,0.2372032433,0.162759566,0.2173471717,0.2516030943,0.2805004696,0.5456372633,,0.4822125515,,0.1728307304,0.1716879318,0.1701638497,0.2476182738,0.249299433,0.2777942115
871,0.4,0,urn:mavedb:00000054-a-1,0.7449577154,0.7122142007,0.6193633083,0.604225026,0.6140832013,0.6839811604,0.7950527498,0.847745591,0.7793876317,0.818628787,0.6126084546,0.6180498226,0.6196255499,0.639626087,0.6463008875,0.6616087871
1049,0.4,0,urn:mavedb:00000057-a-1,0.8338993585,0.7896207834,0.7691353573,0.7345975058,0.71819052,0.7581575975,0.7354722727,0.6895787348,0.6936617608,0.6711939075,0.6559203273,0.6511072271,0.6560184091,0.6938358677,0.6915289751,0.6969473975
168,0.4,0,urn:mavedb:00000057-b-1,0.6966010727,0.6520357818,0.5646961135,0.5480153897,0.7026358643,0.6612530341,0.7240941033,0.7494973349,0.7123345152,0.7198394091,0.7531630953,0.7548598834,0.7569252294,0.7235754651,0.7249508926,0.7230790784
651,0.4,0,urn:mavedb:00000057-c-1,0.7282327718,0.6472086628,0.5397281971,0.5597340206,0.6461676192,0.6580562844,0.6664673407,0.6467432941,0.6425917114,0.6152230335,0.5059692044,0.5059692044,0.483988186,0.5497812676,0.5497812676,0.5418325177
389,0.4,0,urn:mavedb:00000058-a-1,0.8866506146,0.8766110667,0.6833343266,0.7713331877,0.539619711,0.6604506258,0.8869364892,,0.8746935888,,0.6104353703,0.6355144514,0.6357539866,0.6496400002,0.6799351036,0.6973701818
646,0.4,0,urn:mavedb:00000068-b-1,0.7099179306,0.6902378085,0.5880808033,0.5897931693,0.6771380022,0.6581327208,0.7533475759,0.716679393,0.7365689857,0.6889582803,0.6804418878,0.6816219394,0.6815192349,0.7118722126,0.7131822107,0.7183469123
210,0.4,0,urn:mavedb:00000068-c-1,0.784273516,0.7425490792,0.6624449535,0.636023074,0.7061921984,0.7401601978,0.8169201567,0.804553725,0.8051524564,0.7797352476,0.6285711748,0.6245433064,0.6184188844,0.6990989306,0.6976229394,0.6999843851
