,Unnamed: 0,dms_id,repeat,envision_spear,envision_pears,envision_rmse,wu2019_spear,wu2019_pears,wu2019_rmse,lasso_spear,lasso_pears,lasso_rmse,fdms_spear,fdms_pears,fdms_rmse,row-mean_spear,row-mean_pears,row-mean_rmse,ensemble_spear,ensemble_pears,ensemble_rmse,vefill-max_spear,vefill-max_pears,vefill-max_rmse,vefill-min_spear,vefill-min_pears,vefill-min_rmse,5nn-blosum100_pears,5nn-functional_pears
209,209,urn:mavedb:00000045-k-1,0,0.5976412651,0.7537239318,0.08081070941,0.3116666547,0.4814969985,0.13381597,0.5668368087,0.7350846564,0.08478926858,0.5635304356,0.7101835472,0.1025521852,0.2354693235,0.3811255376,0.1143687978,0.6150134177,0.7779614231,0.07748565567,,0.8690879084,0.2016033483,,0.8262785236,0.1654561976,0.7950237645,0.8753536875
613,613,urn:mavedb:00000045-l-1,0,0.3508126543,0.5814062734,0.1943158736,0.1986384993,0.3009863237,0.2369729477,0.4052292535,0.6414521395,0.1822349544,0.4182747355,0.6282712523,0.1881705134,0.1866341292,0.2614690397,0.2330793753,0.3725776553,0.6182946874,0.1872528424,,0.7362004611,0.2179453174,,0.5780560208,0.2026874826,0.6067566967,0.6905470925
677,677,urn:mavedb:00000049-a-7,0,0.5155573654,0.5670148711,0.3509052281,0.5316155666,0.5884974761,0.3491866321,0.5574813542,0.607264284,0.3388023444,0.5524360171,0.6032358295,0.3414321391,0.5446901139,0.5769251948,0.3483473294,0.5658523925,0.6286039991,0.3314245889,,0.6400091351,0.3508574976,,0.6527197711,0.3414071272,0.4879549982,0.5331420993
368,368,urn:mavedb:00000054-a-1,0,0.6089469288,0.7557648364,0.1938523186,0.5726244282,0.7081953088,0.2126498022,0.6112078393,0.753896792,0.1954009101,0.6122086535,0.7423264748,0.1991933032,0.5753391642,0.6411049312,0.2281343439,0.6411160141,0.7972668808,0.1788690841,,0.8647100362,0.2284202212,,0.8171683597,0.2719303562,0.665855099,0.751303229
634,634,urn:mavedb:00000057-a-1,0,0.8107940126,0.8317109164,0.2089526768,0.7396597232,0.7702661359,0.2452980132,0.8584345726,0.8663713,0.1909819186,0.8235956591,0.8407829969,0.2028450071,0.7197280797,0.7459221716,0.251412335,0.8735692531,0.880737703,0.1785088161,,0.71615557,0.3632421717,,0.7874977779,0.2425922736,0.8207098251,0.8262166907
8,8,urn:mavedb:00000057-b-1,0,0.6483262449,0.7153909799,0.2272784828,0.5927469177,0.6537267866,0.2488853275,0.6435659875,0.7231356791,0.225126164,0.6654435584,0.7294938341,0.2239513759,0.6873229697,0.7310286283,0.2225036195,0.6481739135,0.7181777799,0.2301087056,,0.7632363332,0.3174480663,,0.7563809339,0.3160339153,0.7753049424,0.7559208408
245,245,urn:mavedb:00000057-c-1,0,0.65700997,0.7009456767,0.1575854923,0.6059845041,0.6519242388,0.1746220975,0.7000257471,0.7029374456,0.1579900964,0.6568746936,0.6909552438,0.1603871175,0.5992561038,0.6579716757,0.1687862713,0.7090873307,0.7306664816,0.1508927384,,0.6945395825,0.2287204249,,0.7004684517,0.2261565483,0.5629549806,0.6798743376
303,303,urn:mavedb:00000058-a-1,0,0.9377637131,0.9360819542,0.1241033548,0.7322061714,0.7466247661,0.2562927245,0.9355133615,0.9467781988,0.1142679319,0.9325363338,0.9460910498,0.1410704988,0.5870198587,0.5980911045,0.270273456,0.9416080638,0.9486272791,0.108602,,0.8434821518,0.1232373895,,0.9037241351,0.177093784,0.7978764477,0.8941441348
295,295,urn:mavedb:00000059-a-1,0,0.7206483482,0.7788803145,0.2516045477,0.7154078687,0.7711062452,0.2591255358,0.7653154985,0.7953393233,0.2469507005,0.7334440908,0.7790254412,0.2541604658,0.7166032415,0.7569001596,0.2635327964,0.7752827568,0.8390262518,0.2184479265,,0.8442775735,0.2494757477,,0.8514251188,0.2550998882,0.6654412192,0.7387541172
131,131,urn:mavedb:00000066-a-1,0,0.3207640324,0.3936462009,0.2057050425,0.1898856039,0.1754706807,0.2264151931,0.2638743732,0.2465359063,0.2168440668,0.1125408393,0.1608018263,0.2733702101,0.1455317363,0.1039051402,0.2321014271,0.3192559924,0.4030844467,0.2055497713,,0.504369844,0.7191917542,,0.3930685085,0.8543160029,0.04602143358,0.3119268448
138,138,urn:mavedb:00000067-a-1,0,0.07252319028,0.04928325887,0.2441609007,0.1193022093,0.1187205326,0.2515787457,0.08767151614,0.1016913941,0.2437445963,0.06252590798,0.0732859812,0.2895258344,0.1672447332,0.168454452,0.2432098995,0.1968157384,0.1510361867,0.2417419029,,0.3272250831,1.25528028,,0.2802562771,1.232688619,0.1872119497,0.2890998862
262,262,urn:mavedb:00000068-b-1,0,0.7060057044,0.7184689269,0.3107054065,0.6558705617,0.6912868662,0.3295127115,0.7039558021,0.7249814967,0.3098031304,0.6980173105,0.7246207496,0.3083506586,0.6771429094,0.706763264,0.3164049323,0.7320170446,0.7506774983,0.2951229793,,0.7371919544,0.6206714438,,0.7725163314,0.6262218993,0.7097557548,0.752703316
17,17,urn:mavedb:00000068-c-1,0,0.7515333565,0.8009852594,0.207527096,0.6921589773,0.7514311628,0.2364530877,0.738054353,0.7924702754,0.2124337061,0.7131765461,0.7604224323,0.2263987952,0.6986587945,0.7262024778,0.2382861294,0.7605390255,0.8170287065,0.2000778204,,0.8280099221,0.3671398719,,0.844343447,0.3568378599,0.6714128833,0.7241776161
112,112,urn:mavedb:00000078-a-1,0,0.453472605,0.5995031537,0.2325523025,0.4784575143,0.539211232,0.2545611011,0.3212345485,0.4779461651,0.2576469859,0.157030505,0.1628534111,0.4101856173,0.2749418177,0.444642322,0.2676989478,0.4547546362,0.5667684837,0.2393694745,,0.5987293024,0.4025724414,,0.5584715919,0.4082310976,0.06386523613,0.1607116931
