,Unnamed: 0,dms_id,repeat,envision_spear,envision_pears,envision_rmse,wu2019_spear,wu2019_pears,wu2019_rmse,lasso_spear,lasso_pears,lasso_rmse,fdms_spear,fdms_pears,fdms_rmse,row-mean_spear,row-mean_pears,row-mean_rmse,ensemble_spear,ensemble_pears,ensemble_rmse,vefill-max_spear,vefill-max_pears,vefill-max_rmse,vefill-min_spear,vefill-min_pears,vefill-min_rmse,5nn-blosum100_pears,5nn-functional_pears
33,33,tmp:9J8U4pqFlyTEu0qp,0,0.5240757073,0.5846378391,0.2465947793,,,0.4102176905,0.8392418517,0.8442522241,0.1625021864,0.8457368918,0.8521099587,0.1648669678,0.7739170818,0.7595957224,0.1966409718,0.8721028185,0.8752251541,0.1476400389,,,,,,,,
355,355,tmp:bSJAagT3avgUbTbZ,0,0.688592005,0.6886635768,0.1997917352,,,0.3662802168,0.6675921094,0.6333198966,0.2093429441,0.8038200605,0.7927433328,0.1736739948,0.6905632497,0.7025742064,0.1919877655,0.720237971,0.6957466436,0.2019135248,,,,,,,,
28,28,tmp:ebBGiSj5G7F8NIkw,0,0.9374933897,0.9378916183,0.1434726178,,,0.5240458399,0.928979376,0.9295011079,0.1613410484,0.9484399788,0.9515877968,0.1383817656,0.7810772726,0.8101953853,0.240967493,0.9501850873,0.9597979462,0.1125282617,,,,,,,,
232,232,tmp:iYrUnQ5QGj6dYcfZ,0,0.4509209218,0.4730717348,0.2761504594,,,0.4210600299,0.7427039462,0.7802267815,0.1998125782,0.7435279711,0.7912679996,0.1968909131,0.5872927852,0.6583941807,0.2362641354,0.7443691632,0.7982705832,0.1896922672,,,,,,,,
135,135,tmp:sxp0a9t3oGKmp1hu,0,0.7962658701,0.8456775229,0.1905016708,,,0.5004214694,0.8763042782,0.8863722478,0.1699575314,0.8486503787,0.8663213952,0.1841473604,0.7016108159,0.7861952336,0.2232032058,0.8761442441,0.9026087621,0.1544385899,,,,,,,,
69,69,tmp:UCrl0vQc6AQv4KH4,0,0.8205182443,0.8478381373,0.1770297357,,,0.4173958594,0.8735589635,0.8237867298,0.1777919099,0.8730830249,0.8836796055,0.1579457529,0.7769312132,0.8679844891,0.1583842909,0.8906398731,0.8881059248,0.1544004622,,,,,,,,
653,653,urn:mavedb:00000001-a-2,0,0.5968369199,0.6425781288,0.3320525383,0.6957930915,0.7029481591,0.3214456894,0.3686163978,0.4027861171,0.3967172044,0.5569095152,0.5955023264,0.3909982213,0.655288681,0.6613430728,0.3336292492,0.711498574,0.7331134752,0.2962148677,,,,,0.7589192156,0.3647240824,0.5569313464,0.617983361
327,327,urn:mavedb:00000001-a-3,0,0.6194760524,0.5288637942,0.3346361519,0.607568402,0.5705315721,0.319706217,0.6312452791,0.558287249,0.3242502538,0.6231979403,0.5514655492,0.3262804196,0.6196909727,0.5356109924,0.3301622899,0.6610041381,0.5903765838,0.3159603303,,,,,0.62015983,0.4006338646,0.6046863218,0.6544005347
19,19,urn:mavedb:00000001-b-2,0,0.6015464998,0.6074607746,0.2452166279,0.5893529225,0.6191190241,0.2448073226,0.6378066854,0.6464024469,0.2353298022,0.6482287492,0.6360423927,0.2388351626,0.6309676363,0.6414666986,0.2384009194,0.6536823526,0.656723881,0.2325875092,,,,,0.7218387113,0.4700376629,0.655826858,0.7385913025
638,638,urn:mavedb:00000001-c-1,0,,,,0.2106827872,0.1814455477,0.277228544,0.2421146779,0.2243232836,0.2769683642,0.1998864766,0.2155273509,0.2861407943,0.1617432099,0.1611262771,0.2823407156,0.3092980294,0.30681458,0.2675523548,,0.3454149468,0.46857961,,0.3897642863,0.5186367823,0.1542044095,0.3740349396
