gene_id,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
744,706,0.10601253794442662,0.08096605777083847,0.9027661816006373,0.9575855328876194,177,0.2133218182585393,0.16282332735382826,0.6163044384968709,0.786435579727707
680,856,0.1511737589643371,0.10982599158271307,0.7820928099537912,0.9024614644341435,214,0.21610903517542102,0.1635688407626117,0.48810788030561714,0.699970461989422
878,393,0.22397886669361805,0.17371051922116193,0.6720929852582188,0.8519845158494667,99,0.2873575431055504,0.22779739847238023,0.42745054996925724,0.6543191700767943
658,895,0.08823077455321604,0.06348385525546557,0.9251986069926228,0.9658069883870884,224,0.16935074978602596,0.12136922421220568,0.7345931112155991,0.8608092653718561
872,1160,0.07370799383386244,0.049447223160938275,0.9550096133319891,0.9793491113839266,291,0.19041147670620778,0.14195544103578686,0.73653117056797,0.8623227132689957
676,693,0.11113654341564289,0.08478986379257847,0.8876348382358379,0.9510410837981018,174,0.22822469420966435,0.16992502055619943,0.5879097885012362,0.7670843732566306
682,440,0.06239726450218712,0.03397752009367863,0.9486714058700444,0.9786131137526155,110,0.17172777794618455,0.11782125179007555,0.5704119812829302,0.7566145056525444
675,640,0.14693379013212787,0.11084606276873703,0.8156000025751982,0.9189630630532735,161,0.2396708963831039,0.1829911100553794,0.5740457340970215,0.762148045910598
596,922,0.007150045168239121,0.003806155443012259,0.9994561816901494,0.999760142091351,231,0.1989645934877832,0.15281192765881163,0.6377288421575769,0.8007952771430762
876,601,0.02001203033936673,0.012159651655364584,0.9961527808314754,0.9983589577810694,151,0.18508625085117086,0.13762357066860859,0.671050498665944,0.8197059485338701
919,749,0.1367133763891866,0.10629934085266832,0.8544113022635575,0.9374192126971939,188,0.25572531516131153,0.19773143345239508,0.515157831127806,0.7220884248423123
672,1161,0.07402731953040914,0.05180092800330077,0.9550101358093835,0.9804122960708281,291,0.205821115474395,0.1536446593401842,0.6623816276427137,0.8154283294115972
718,816,0.1183258099474395,0.08751624157897021,0.9065511211996241,0.9614905307241777,205,0.28221275085038583,0.21574091141331253,0.5371029450668781,0.7331225337069036
687,969,0.02141254480969823,0.01364018510870088,0.995092914472226,0.9978693930558333,243,0.15688899967966055,0.11650722413065917,0.7274961454414365,0.854057794892747
659,1094,0.05253736942538975,0.037425027941566096,0.9809120820201601,0.9921341601543978,274,0.24176338522419022,0.1858833443573575,0.6041130746415366,0.7780808534036728
660,949,0.07001918577913499,0.04682952291484468,0.9578774916227003,0.9829217475448476,238,0.24567084476332673,0.1664964271803609,0.5086927956277695,0.7179568192697897
587,835,0.10677179591262748,0.07246585556360619,0.878068697332411,0.9485900449287118,209,0.19861313438638722,0.1400002501692289,0.5003241660870843,0.7194694531252842
948,1002,0.08162039416555422,0.055866612646279366,0.9467230533184118,0.9788120435618758,251,0.22778672121773944,0.178299948294537,0.5727156843247518,0.7664714242530888
995,149,0.06494225202347113,0.04969674182623074,0.964456401986511,0.9843172900173294,38,0.16491802300447725,0.1316414194406366,0.6569282792278153,0.8201684005158649
888,804,0.08506977231849418,0.05953567509140722,0.9270257045092027,0.9707788786664282,201,0.1894597813217751,0.14394703328176128,0.6111637002665594,0.7827185335441663
717,1064,0.0854006498103538,0.06318989725124335,0.9380966131309731,0.9773796722542412,266,0.2485992336385973,0.19221599882193544,0.4155663062061469,0.6507194063667051
1005,676,0.10356033654744715,0.0756016518613764,0.892192199072909,0.9529674434859555,169,0.20087938489012166,0.15120518610644634,0.5649893674464518,0.7550930919780436
939,779,0.04579819120508354,0.0286006748893812,0.9800118555941109,0.9910177854006516,195,0.16041894548872013,0.11239074282983084,0.7815805881421214,0.8843734812416804
841,823,0.10372171878272689,0.0797166542576009,0.931250739627286,0.9711917521946344,206,0.27124859844647375,0.21753005569043773,0.5738872949978213,0.7579953090363605
938,712,0.007865951967050259,0.0024396510476324866,0.9994124066690677,0.9997168558127015,179,0.1788960482377246,0.14132336657073735,0.6418471103306148,0.8016767570891227
931,965,0.057144667111415096,0.03849444334621085,0.9685481368370941,0.9862599506734991,242,0.17145103865525374,0.13334734039614496,0.6885545669002622,0.8304128107192976
681,828,0.11685958911979799,0.08266650303234069,0.8603138866963296,0.9367735305625472,207,0.19380661044573133,0.1429944526544609,0.6382089827396191,0.8029885949640381
