train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r,gene_id
361,0.056674794177203655,0.041829164306982705,0.9700507844080547,0.9879701304541206,522,0.22179202965157294,0.1753236561629878,0.5941041489004606,0.7746650191133064,744
409,0.10906907123875433,0.0805005984577562,0.8660412151775404,0.9443585862327446,661,0.23363611030788192,0.17635786723281918,0.5051075375065684,0.7112073206066578,680
192,0.2186899562121874,0.16698782418115624,0.689934947327224,0.8740752384780235,300,0.3070031412242551,0.24817735102297442,0.36722899900810146,0.6148460771537538,878
445,0.04619413312632043,0.03145137014901025,0.9767147683991202,0.9902678912502525,674,0.18717945145930714,0.14034495720112475,0.692732373976275,0.8355265353644127,658
596,0.0598317216391618,0.03964199075264318,0.9688031944590676,0.986326557541981,855,0.1944116320367425,0.1437285248707852,0.7073425874337491,0.84159694697136,872
340,0.12065977497445698,0.09150544712287055,0.8674587477360484,0.9429723719511933,527,0.22117438866084643,0.1700171958783342,0.5703814463853653,0.7562720312710324,676
224,0.07995466505114573,0.04978941569870787,0.917345661966596,0.9669732290663875,326,0.1882684817719804,0.13106558109207464,0.5069470882148859,0.7197833348078091,682
347,0.1530957796531794,0.11655929308253891,0.7803933763338511,0.9086595846000631,454,0.25474029120151276,0.1973968411065185,0.5065399435008,0.7225000469136086,675
451,0.039485795243703346,0.02837180660591358,0.9828314600861171,0.9930236950453307,702,0.2115779959025293,0.16467605426181145,0.5462679928859016,0.7455922822892765,596
278,0.03573530548696055,0.024828742015857226,0.9857462674580362,0.993970848101417,474,0.20507260586601364,0.1555661447973825,0.624007693701093,0.7927993352523017,876
422,0.10368095355539084,0.07831277936870551,0.9099471141328042,0.9634716834373308,515,0.2484701081426271,0.19863088494102624,0.5455273918330261,0.7434421936915411,919
604,0.07970913649906247,0.05551459921996494,0.9414716318835465,0.9749975238603605,848,0.23250357154457338,0.17098507659849105,0.5739407818931194,0.7616518427253209,672
426,0.11308062334407258,0.08629331532980625,0.9132302445290656,0.9684507469869658,595,0.28756973265067737,0.2231948027396914,0.479882947907447,0.6932598486199508,718
497,0.025423411819433892,0.015143055922014847,0.9921202607396726,0.9966021623912492,715,0.17521116928314512,0.1304670390157812,0.686088469469776,0.8308887373821174,687
552,0.014827337023668199,0.006640197573525219,0.9984630986908183,0.9993154085664799,816,0.24895408631458604,0.195157371884012,0.5759377063400579,0.7593576583454187,659
548,0.08728405705177579,0.0553519905462094,0.9311675715217668,0.973242552586175,639,0.2413783086455704,0.1751374213450615,0.5230807337515023,0.7242943717728362,660
467,0.0941701681936098,0.057726122653078214,0.8799803109089094,0.956078434082891,577,0.231098724607591,0.17261121296438547,0.4810293346017904,0.6986996539780657,587
526,0.11468829533683089,0.07832963683386206,0.8961508644923102,0.9569916278203232,727,0.26684265584058603,0.20975607789589087,0.39169871157130365,0.6501943892973856,948
81,0.05145688969751323,0.038937549662454427,0.9727673028407933,0.9886038256131185,106,0.21481324160352955,0.16652824911889655,0.6220109766908075,0.8070920620934343,995
451,0.01056016986239338,0.0029889457312366413,0.9987482248381652,0.999449789348137,554,0.20553996069482572,0.15862767947440407,0.5958652657344947,0.7727316753860135,888
547,0.17104892728994095,0.13668106620430448,0.7478103118459183,0.9087175549371387,783,0.2700276940202628,0.20820602199967536,0.36346147696901,0.6033932183066238,717
343,0.09297931218319738,0.06836484403082768,0.9075313965869897,0.9602529906217668,502,0.22612896381579214,0.17087236749944332,0.4932912418791112,0.7024695483885963,1005
401,0.035607708130398714,0.023786439568982316,0.9868494969192918,0.9939774970900436,573,0.19353496948710217,0.13184358929388862,0.6695950354535707,0.8209567352126808,939
445,0.06094036519690892,0.04466354275695507,0.9761131588422571,0.9907351621961711,584,0.27247924847728494,0.21501337269071394,0.5427411281127034,0.7377691683238814,841
385,0.019432377846219817,0.011839540074058071,0.9960137473082182,0.9982994565441916,506,0.2013069361541962,0.16016572978012525,0.6168912159574447,0.7857738307982374,938
513,0.057159346383789465,0.03607171836750955,0.9627361979268303,0.9845962606023262,694,0.19792883519045568,0.15543870551870087,0.6457654919131007,0.8071957261767637,931
397,0.08725648338440882,0.059451276136190494,0.9201856493503894,0.9653609556423745,638,0.20113738551077232,0.14954913136228618,0.6002515376142363,0.7798757263048175,681
597,0.02510837084201662,0.006994569361060189,0.9912805236964588,0.9961644368100249,809,0.17826079556659905,0.1174151077099307,0.6583871938428181,0.8176267555207373,720
570,0.027140176101573297,0.014670102696029464,0.9939854680186858,0.9973173101678461,664,0.1656745393177732,0.11975119723660466,0.7976049405295933,0.8949816405368154,674
433,0.03726921200877676,0.019055498437929873,0.9814333827336116,0.9930331153351959,643,0.17208143605471185,0.11762165098395756,0.6051716135685172,0.7839429548991839,909
726,0.05275614458210775,0.030066998277194674,0.9657822414227439,0.9858142867880297,971,0.17846845226768987,0.12208619255143646,0.645997632640369,0.803873030830999,825
386,0.012133245067771756,0.005757246849097782,0.9985311923128595,0.9993581750896037,531,0.2273140352093403,0.17553536157924582,0.5261116232421219,0.7357637249266431,598
400,0.03704358572409841,0.02772668129365745,0.9882826585229947,0.9955284024498892,514,0.25022199106530996,0.19407755079762246,0.5295988557834672,0.7315315509778728,913
493,0.07124936457489878,0.04560586950647342,0.9397570184661788,0.9750627892296624,609,0.1745641820199413,0.13163928831205307,0.6793580952462999,0.8258343738734311,937
555,0.10399022290014337,0.08228891819652837,0.9002396508163559,0.9617562155606548,714,0.23562436997153696,0.18453138517026016,0.5154782755043916,0.7222967864505617,585
551,0.012312467471450182,0.005644207746139737,0.9989596743861975,0.9995369142500753,770,0.23704060488512668,0.18180317113275934,0.607689462870134,0.7801151754966547,900
429,0.044922212053035177,0.031381156013067284,0.9838174213646954,0.9935925353407913,595,0.22103269106889198,0.17241106560883104,0.6247018078019085,0.7936373260637544,827
180,0.14962140748411895,0.11319933386268324,0.8099906048277549,0.9239702343914797,277,0.273217643329172,0.20367521115951312,0.4400739331101631,0.6653509238438451,877
526,0.07180784199441581,0.04664474036676769,0.9587146679172494,0.9838065858640993,712,0.23225005661302492,0.176647704354279,0.6049563463652148,0.7792065606192711,925
454,0.058759361907435644,0.04035272725341423,0.9629209062876192,0.9869551926564326,540,0.21940370947009996,0.16757480068736,0.49120726677575244,0.7011769264559901,844
431,0.026416004429569897,0.018202829104494722,0.993965951674522,0.997649269414962,564,0.23377013583818904,0.17950951994373757,0.535085111662688,0.738179134127424,595
760,0.014280753711440074,0.009135115131444509,0.9985421040344993,0.999421449134499,1044,0.25831405725294126,0.19745125656617674,0.548638893884533,0.7424173364719909,965
311,0.09612831403432054,0.0722807225366326,0.9013211175186676,0.9592790166234215,395,0.23321830115471703,0.1786913909830725,0.4331448903110765,0.6581646053027387,917
588,0.02071728289610903,0.010277162344581455,0.9939781574278872,0.9978504610054247,814,0.2157006463645037,0.15080748321964121,0.503338969940933,0.7125067933054656,623
532,0.025588109896364047,0.013387362562910524,0.9909848561433184,0.9961059023931403,712,0.14824759863123965,0.10273302750147087,0.7814478653921957,0.8900416051397868,972
463,0.010363759208240696,0.0056684484969496286,0.9989341753290547,0.9995266869406425,658,0.1950088164852498,0.14565608604319857,0.6709648663017647,0.8218274144368962,555
482,0.011906874080108258,0.003415138755470061,0.9985954735291686,0.9993553119300931,734,0.21766842736758654,0.15559048567461906,0.6246294306065263,0.7910805750423615,922
439,0.015481896397780602,0.008386357756036012,0.9977525844628106,0.9989829792672231,669,0.1956146852719447,0.15527817985189843,0.6361537370966552,0.79792834038716,797
451,0.09016438508442685,0.06869340341227033,0.9272312965167522,0.9719367102453762,586,0.22101083835454374,0.16990336117988608,0.5788058581384623,0.7619276201194912,855
327,0.05516746975066416,0.03007258494147355,0.9630256061786489,0.9848964737868169,407,0.1916228800258376,0.13926789724227107,0.6092303540054724,0.78305106850493,634
507,0.02772439233393016,0.01554926629134762,0.9923159383266255,0.9965170112427794,732,0.18584195315103413,0.13125294079650504,0.7090183765082909,0.8423633431918347,794
397,0.10674465427888263,0.07638990008461181,0.8968501443474555,0.9567988389455635,624,0.26322094560618087,0.19934335325169905,0.46239963656945104,0.6905443575187339,887
438,0.04432531264035358,0.03216273570934608,0.9829945172688251,0.9936541305662049,583,0.23722566199330425,0.18096578759682114,0.531186347734987,0.7290226718584732,911
453,0.013312039368946763,0.004506686171919468,0.9960999197837627,0.998352745129578,673,0.18025293321472585,0.11374529771275729,0.5304096392954758,0.739437075007823,805
243,0.075007214537215,0.053869813615093236,0.9503903439006633,0.9808195117729983,362,0.25816928640949754,0.20292295035884184,0.4446923116033823,0.6669351505115807,918
385,0.1063205417367888,0.07571499005387314,0.8833726642149098,0.9491370528174862,645,0.21178615079742202,0.15786686232144212,0.5719036362715317,0.7567702051735901,875
394,0.06319473992630845,0.04438061688068668,0.959985638016081,0.982142980911105,596,0.19207468537412772,0.13798382545614063,0.6903942545318017,0.831326465341355,602
406,0.13281724681339535,0.10387769786290885,0.8493634992011359,0.9401814770897015,541,0.24600422953991333,0.18757862619745153,0.5229657742675804,0.7269848082135141,915
455,0.11235121679793966,0.08360424008171337,0.8989309949595474,0.9609282964560342,585,0.23571197462210755,0.1857873811271337,0.5283591669526222,0.727685914106458,782
728,0.019373014197036985,0.009592063014065729,0.9968256733546519,0.998565272827436,967,0.19109712194429188,0.13724591789084709,0.728968241774125,0.8565076046900539,684
353,0.030292391596235254,0.020481540513124317,0.992299587844828,0.9971475588441943,421,0.2607246554529084,0.20390401243102324,0.4627731786336168,0.6806380602395861,789
