gene_id_out,train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r
744,139286,0.18071816403902805,0.13299172445176463,0.7263254814647586,0.853931529565172,883,0.20462613029643892,0.16040511090264936,0.6401126089128426,0.8001206217069562
680,139099,0.16977132172704454,0.12513731391702212,0.7586036538135773,0.8732509161890705,1070,0.1991181375275364,0.14786988794949713,0.6120915203345753,0.7826966661681887
878,139677,0.16053313329841273,0.11834003756815543,0.7838613575953025,0.8881595360319093,492,0.25923788472154313,0.19987515701196656,0.5557346726517016,0.7457313452619505
658,139050,0.1668143348978946,0.12293397919239826,0.7669952079590026,0.8782592902517835,1119,0.16121081783523192,0.11910994915552787,0.7529336541794398,0.8687918997011564
872,138718,0.14727261377272693,0.10857678925587586,0.8181826226156528,0.9080595464661426,1451,0.17426148159206062,0.12695328839029488,0.7565410157698544,0.8701712566930433
676,139302,0.16737174763739365,0.12335265702307624,0.7653657497871544,0.8772457991764254,867,0.19241284305518097,0.14581693735037318,0.6732369518113488,0.8206922491039643
682,139619,0.19937245652403418,0.14823397480170084,0.6674368686743267,0.8236179883779764,550,0.17711543998153412,0.1225465828603542,0.5791547391496745,0.7719638268704755
675,139368,0.17899212202577186,0.13175120620088965,0.7315762320252951,0.8570630187534403,801,0.22545987947347226,0.1737649389398274,0.5792266525404661,0.7613045366780089
596,139016,0.14144940528370065,0.10424134693164028,0.832552660927053,0.9162076181944371,1153,0.173015001504455,0.13412625465652472,0.6916260980768698,0.8320137817404347
876,139417,0.16259377277054926,0.11982909908880368,0.7786722769885757,0.8851517113129583,752,0.16752982978333444,0.12842672566846552,0.7307510378349024,0.8548861349803669
919,139232,0.18090720109772032,0.13313933503328834,0.7255615510340419,0.8534445759515132,937,0.2221548711193535,0.16821353770436098,0.619844875857519,0.7875083622654306
672,138717,0.15737668298691687,0.1159482933699455,0.7924477730559124,0.8931934628386923,1452,0.20038878021169595,0.1484220203357838,0.6723159344666645,0.8199927094480262
718,139148,0.15527391056283238,0.11447104796475159,0.7975777124328169,0.8961667032946774,1021,0.24653837968639905,0.18944121047250934,0.6067214193521369,0.7794296448335334
687,138957,0.15212761484157244,0.1121933332968175,0.8064782150412646,0.9013586068723042,1212,0.146680909214087,0.10884562793700002,0.7681860129624163,0.8772122047015251
659,138801,0.17132597925078305,0.1262051838734285,0.7534635618938581,0.8701719492470872,1368,0.23147032264141776,0.1766361486428419,0.6310339753877672,0.7952037593494073
660,138982,0.16042302765916255,0.11829612004663206,0.7840546358553606,0.8882950520389472,1187,0.21676985002452923,0.16034826739125135,0.6007218583313536,0.7772017054273426
587,139125,0.18780756170738327,0.13831142302579624,0.7049420456690499,0.8413681873407125,1044,0.20155049901637895,0.1479607978593494,0.552131190104988,0.7435299030950236
948,138916,0.1625429839146569,0.11981277734189105,0.7783219461723097,0.884908760283322,1253,0.2376146348399886,0.1800545854823275,0.5470937632917448,0.740695275195336
995,139982,0.16671404790935404,0.12289137659492295,0.7671713301918794,0.8783327277565989,187,0.1524494933207086,0.11192467643058036,0.7913973675317836,0.8954461764680333
888,139164,0.19821361057573875,0.1470538547233943,0.6710593476801634,0.8249037040454396,1005,0.2316702776578346,0.17720823369265737,0.45158997263465317,0.674617556433224
717,138839,0.17185250344920824,0.12658613819062942,0.7525655281955671,0.8695930376112979,1330,0.2401291973593196,0.18577469754649056,0.5007669423880114,0.7079196917650423
1005,139324,0.1428547201014995,0.10535533093832676,0.8291879337232072,0.9142543883773835,845,0.1845375513540361,0.13830872098092056,0.6534124007323282,0.8084811646658896
939,139195,0.1749629211980685,0.12892591605413325,0.7437066073851298,0.8643542404804838,974,0.1506666518065264,0.10784662584319755,0.7891663207620695,0.8885701197901584
841,139140,0.1624636496714024,0.11975242592320362,0.7782665045461266,0.8848778931069134,1029,0.25179266821895724,0.1969435213239822,0.6031171926331118,0.7771562328988448
938,139278,0.17047106076563953,0.12559307620143825,0.7566732007303411,0.8721023611142121,891,0.17849412664564618,0.13743211991983514,0.6883335081862847,0.8299285117754664
931,138962,0.1415365111971305,0.10438921261270173,0.8323779333598689,0.9160901187202537,1207,0.15260789192089372,0.11390329136557141,0.7716321415931906,0.8785810023579615
681,139134,0.14969389083519424,0.11043442159649414,0.8123892866553432,0.9047676930636872,1035,0.17503992847292038,0.12550334924981071,0.6906191550042775,0.8312261938870713
720,138763,0.1687634717763373,0.12450513630717436,0.7616223155724129,0.875080167836286,1406,0.16513844894203017,0.1048714618766535,0.677518595281384,0.8312045642973425
674,138935,0.16609240140084977,0.12249124332661308,0.7686950796023749,0.8792832516224333,1234,0.1597841509541852,0.11267838683177728,0.8036541701967392,0.900159340042431
909,139093,0.14167993333316964,0.10452447677737793,0.8321482783651328,0.9159843529238453,1076,0.14582742239874064,0.09515575490668465,0.7165443137620828,0.8490692609952089
825,138472,0.1617642266314453,0.11937596547909819,0.7811286485622803,0.8865843868856136,1697,0.16004264597522738,0.11194796659222124,0.7040680355552353,0.8414555481836716
598,139252,0.14134222505726507,0.10414555445634585,0.8327212459668951,0.9162889569602207,917,0.19330982529439744,0.14898237741038994,0.6492258444043999,0.8063025096522523
913,139255,0.14130485977311463,0.10420051692638184,0.8325690536005586,0.9162148600260712,914,0.19587294569329802,0.14856846267748547,0.701297637981239,0.83795745806893
937,139067,0.16619487298253308,0.12251547401977984,0.769032891236501,0.8794618638947616,1102,0.15397351229274092,0.11096692407426549,0.7391819940750433,0.8600104058022141
585,138900,0.16074835748447316,0.11840292129198016,0.783511985083587,0.887959053262678,1269,0.21009390511474274,0.16510625477390914,0.6091741455715807,0.7815665830468352
900,138848,0.14859432110669524,0.10953612760081873,0.8143961731964917,0.9059084608709816,1321,0.218649385301871,0.16911115139578767,0.6694910247975159,0.8194152863955102
827,139145,0.14141316205997823,0.10422107394085921,0.8322253845326462,0.9160006831475948,1024,0.1835794635942169,0.14126817310371192,0.740503701458447,0.8621658954253915
877,139712,0.1715293658156804,0.1264046079424903,0.7534215431022594,0.8701406515810839,457,0.23960583680736133,0.17729478349278463,0.5506684668731158,0.7420854664534541
925,138931,0.141350290977395,0.1041547672033309,0.832424244369533,0.9161380840255641,1238,0.19282199704445366,0.14486906342837472,0.7209667530340669,0.8503643611223651
844,139175,0.1718463274235456,0.12663645502972315,0.7529703337702153,0.8698750286953859,994,0.1901179487748166,0.14116774439413135,0.616278937130123,0.7867400178230264
