position_out,train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r
3,827,0.10132446916399729,0.06992249359373831,0.8955290626866096,0.9589790078685161,19,0.10129818008480855,0.08680066725601776,-0.24160097094084376,0.5802328090636386
42,827,0.054694642175434974,0.03228529251197338,0.9693270136692437,0.9852507916196035,19,0.0647145135418864,0.05707600685015671,-4.9740907407219765,0.5936131202013635
34,827,0.11081693494321476,0.07838544967710921,0.8687398875449037,0.9541008974549969,19,0.16175986571845288,0.09494504644509133,-0.021291479335747043,0.18491099197961455
22,828,0.035202570507408056,0.01905954064839523,0.9872900430525706,0.9939208569524367,18,0.16355205808150383,0.09914174579469792,0.38907631669480436,0.8822580501910793
17,827,0.07963113104691305,0.049407582887728785,0.9319829934516544,0.9686778720332847,19,0.13761858940340815,0.10025747011875842,0.14421658169239215,0.38330452075672117
18,827,0.041867387841196126,0.023668603638253634,0.9821224931639537,0.9914362317528959,19,0.06214093064494225,0.04315870230444597,-0.07322747107603078,0.531129049306451
25,827,0.059113328802493245,0.03478643916515254,0.9608589683165147,0.9812111083406097,19,0.22154354781837443,0.1738543067870356,-0.4392126048006455,0.5855681502251426
36,827,0.04736738759343768,0.026944415383824725,0.9771402385918379,0.9889964756195068,19,0.1609412513878769,0.1103674969912873,0.19209087097242572,0.7313722366823112
5,827,0.24881461165999366,0.1966128977770727,0.37268159307352944,0.9343357076441083,19,0.09106429580689397,0.07383744645489691,-0.029608438740921228,0.11240192214344628
12,827,0.11892553526670316,0.087037781391512,0.8563334968047458,0.9532922984560088,19,0.09430265322046219,0.0715538994731416,-0.25852349851003753,0.1227403096713407
44,827,0.06458385907364528,0.03924883850594124,0.9574920627456283,0.9796378693492347,19,0.07016086941911269,0.04954845114823686,0.03128285871293035,0.38785102444249836
39,827,0.07766563649211022,0.04911267710636367,0.9384548997141186,0.9715618180935909,19,0.04827342497703644,0.03544494306180112,-0.8697674296530264,0.2988095498123677
23,828,0.08228731503660533,0.053120789243624095,0.9307878559641259,0.9690167068071511,18,0.09580249365031013,0.07617317381821,-0.7980663362543337,-0.034620780815833335
4,828,0.07269587359587296,0.04520701869773372,0.946161968068139,0.9746707229923816,18,0.06851136799672745,0.055857214974457246,0.47114524902921273,0.693503827515566
33,827,0.07162044381172773,0.0446107259246954,0.9477493825593334,0.9754009446867768,19,0.048694677454049595,0.03635650917357946,0.42909925250983516,0.7238735187300185
28,827,0.05809079559620672,0.03420330280709431,0.9611418289133302,0.9814018484129903,19,0.21987092491821042,0.19403736300903524,-1.1204632971008026,0.6680240552297289
24,827,0.025503396334164694,0.012810999238473276,0.9933638684260295,0.9968346582565935,19,0.15598893809690315,0.13034545981585194,0.3303131094499757,0.7904641796435685
16,827,0.28425406940179077,0.2241928193763327,0.1774147855018331,0.92878509345802,19,0.16205074041417014,0.14659260366622262,-0.5547806052121225,0.013139763911680227
10,827,0.019923186737138783,0.009287536647801646,0.9959444967689342,0.9980604256702474,19,0.17271484225360892,0.14095898662065828,0.3071210518525045,0.7135289761948508
7,827,0.3057652477980261,0.24035981347422175,0.04825175867589626,0.9200511823553148,19,0.1693056409452967,0.1387761427383026,-0.01688383136704874,-0.06529894085712018
9,827,0.05516600956387333,0.03231247875082411,0.964696783701996,0.9830259021774024,19,0.28015518714652393,0.24373271978516345,-0.6549338356121652,0.18918735960698874
31,827,0.08153859999414025,0.051880272256265035,0.9319595240473746,0.9691461651462295,19,0.1665215152725605,0.15913187217420274,-2.15700545174365,0.8562324172809717
43,827,0.10018314543900661,0.0693884569832283,0.8978883952387129,0.9604277852809974,19,0.04238339998716899,0.03552390645032583,0.4215742763436279,0.6877671973569762
20,827,0.17822869075662678,0.1375242880004729,0.6674083850475447,0.944181622601048,19,0.28829645246282753,0.24990191391546948,0.026780080493168934,0.6478143385837093
32,827,0.058949764468437776,0.03484399623774983,0.9636643364846412,0.9824996544116814,19,0.16429360584421415,0.134151356437695,0.18912490694716877,0.6065668494226889
45,831,0.04625900204871161,0.026380438220737497,0.9780775968515106,0.9894717091504494,15,0.14350323024103054,0.12888651330475243,-1.87424390239513,-0.002930768409785168
40,827,0.11219752953766235,0.08118246467981592,0.8718427816669392,0.9562849149024891,19,0.04658973399147814,0.037249607695476285,0.1441193096338197,0.4094584885277739
6,827,0.05749207085152821,0.03388762711476837,0.9617735850965856,0.981789675209391,19,0.1869398438019623,0.16394639178059747,-1.2211671583951915,0.4059477221409061
1,827,0.1277154694377473,0.09517815009289345,0.8343281962935737,0.9523038136801768,19,0.09942387678163842,0.0821838393912636,0.08283592183338628,0.29150975873591284
2,827,0.0614722939328367,0.0367820062711399,0.9612933997093074,0.981376583393155,19,0.1387076956635162,0.12380214165368437,-2.5212797298251095,0.4633894217049981
15,827,0.10515683198726608,0.07390899241412124,0.8873672306038368,0.9583131531755362,19,0.11885576002649274,0.08155068477196797,0.3156437428394018,0.7359214271883796
41,827,0.05029401640180385,0.02924411496546335,0.9742000262731231,0.9875671540446069,19,0.055829944754429144,0.042264134185620306,0.4130489783200729,0.658035326180156
