gene_id,train_fraction,5nn-blosum100_any_pears,5nn-blosum100_3to5_pears,5nn-blosum100_5_pears
2,0.1,0.6328200031276285,,
3,0.1,0.34759010161284815,0.4512899994300667,0.7322866686125847
6,0.1,0.37944474693744235,0.29029235151011634,0.8289921788697244
7,0.1,0.10982304968612884,-0.10325975330428858,0.5495558408907377
10,0.1,0.006423545301035126,-0.05780140187764367,-0.34913891615184567
12,0.1,0.5609330112017878,0.05271272560071075,
14,0.1,0.4257179330038698,0.28801285967675927,0.6650329704518945
16,0.1,0.4042097796032251,0.5052016182284571,
17,0.1,0.29148568735417485,0.45181079145751457,0.17964037136130445
21,0.1,0.2195493653237782,0.24515397956135082,-0.0072162717338410814
26,0.1,0.36297643388257506,0.38773792056919676,0.5966641841718693
61,0.1,0.5464864189095529,0.5820658929495086,0.14968580446589344
62,0.1,0.3856170274560233,-0.18752549668635451,
64,0.1,0.3727944202535268,-0.4598856726106575,
65,0.1,0.1943413182774409,0.2465328988146824,1.0
66,0.1,0.1134739417371331,0.3113051352513497,
67,0.1,0.35062729362429834,-0.5448295460297501,
68,0.1,0.2791865390665908,0.18984438178431023,0.5404473795129008
69,0.1,0.4818620027391464,0.32690025678499035,-0.040754328576228634
70,0.1,0.10735586795844798,0.7090097110536976,
71,0.1,0.2835564133958741,0.41817212840048057,0.48385559347352336
72,0.1,0.44850623540713874,0.6780372137786873,-0.37046651883945064
73,0.1,0.42570846702740756,0.0827103593323778,
74,0.1,0.2048265364206052,-0.11163163858780173,
75,0.1,0.29029418192075757,0.2662666583162898,-0.17043450443894317
76,0.1,0.42291650873319486,0.5446217405700365,0.6458171618912555
79,0.1,0.25605792170259334,-0.2840372173130025,
80,0.1,0.2597595980609489,0.29446947936342677,0.5183048565062595
81,0.1,0.1812574986859839,0.16921607740241815,0.5958220547675006
82,0.1,0.30713964827092044,0.5345215436325521,-0.07957249643091434
83,0.1,0.23796587370068395,0.2305427702706149,0.7874400269623846
84,0.1,0.13849612110742346,0.20422953039768105,0.14125760838167192
85,0.1,0.20398756815475114,0.22896909473807447,0.307084308611422
92,0.1,0.35624309775009305,0.4610251044364905,0.37236020378771845
95,0.1,0.18164608091893875,-0.0002444912336698902,
96,0.1,-0.014760352594367686,-0.5327175389438941,
97,0.1,0.1553910971926933,0.7672837682023422,
99,0.1,0.6064369206794876,0.9616213175139441,
100,0.1,0.5124073175381647,0.6942465756905949,0.8681236944845189
104,0.1,0.5151692406913899,0.6068982970733218,0.8043713690395522
105,0.1,0.2608342939667907,0.38347827381743493,
107,0.1,0.5418270224944917,0.6817800020659044,0.9806874519165387
108,0.1,0.6844306992243595,0.8924280413363576,
109,0.1,0.5719935555262113,0.6525883053026286,0.622790830655278
110,0.1,-0.01049700028360971,0.2512496817775642,
111,0.1,0.06282355459181177,-0.10596711898112011,
112,0.1,0.5902642425047305,,
113,0.1,0.19803271688012342,,
114,0.1,0.305264449451531,,
115,0.1,0.018661026821838227,,
116,0.1,0.44014266447338274,,
117,0.1,-0.13214494223108997,,
118,0.1,-0.08079588893753639,,
119,0.1,0.3275455152820402,,
120,0.1,0.25531423407381065,,
121,0.1,,,
122,0.1,,,
123,0.1,0.13390007297516965,0.17770791071083206,-0.28158340466533166
124,0.1,0.07029230438110844,0.19896226249230253,
125,0.1,0.13218036142157516,0.045044089128180836,
127,0.1,0.5558661263367419,0.6095577096351746,0.198084082439862
128,0.1,0.5446490119872782,0.4171125566282894,0.2324606170449365
130,0.1,0.4597363990236096,0.4779854435709227,0.22561093209924082
132,0.1,0.25449390273160766,,
133,0.1,0.37406661506272937,0.34611349992119755,0.26263968993772185
135,0.1,0.2924797921138967,0.27052152992321543,
150,0.1,0.24416225525792512,,
161,0.1,0.3513123742397782,-1.0,
163,0.1,0.49374259396098574,0.6191274248812711,0.5354203195502709
164,0.1,0.42699098546380726,0.5742402600381952,0.6009550378604473
165,0.1,0.4162506313279824,0.5027537638431171,0.7193712881757429
194,0.1,0.1743595963418056,-0.2305861786030284,
195,0.1,,,
197,0.1,0.3758949833993961,0.5823036510034598,0.2929622575503569
205,0.1,-0.11432502436940356,0.1821554318541349,
206,0.1,0.45131878934891456,0.5018652289762296,
207,0.1,-0.12934054309222986,,
2,0.2,0.6003410230503883,1.0,
3,0.2,0.4936547157049681,0.6182257556954492,0.6628497320564901
6,0.2,0.4441334591611921,0.4728577232184653,0.2447244568506783
7,0.2,-0.009410336970032858,-0.007102510567331022,-0.05158769206415505
10,0.2,0.11263578929048694,0.19479124886195906,0.1787416852892695
12,0.2,0.6976863359472424,0.6944405462592982,0.7812954419921195
