gene_id,train_fraction,5nn-functional_any_pears,5nn-functional_3to5_pears,5nn-functional_5_pears
2,0.1,0.6328200031276285,,
3,0.1,0.3470646168954539,0.4813004720518756,0.7054548296983929
6,0.1,0.3887088759157351,0.32306367781570444,0.7907198352877498
7,0.1,0.12694540488145079,-0.060263236333910467,0.9312574582859894
10,0.1,0.009765079697819111,-0.05972265402289148,-0.3086770075746204
12,0.1,0.5878735160815275,0.3598157540503152,
14,0.1,0.44312106032282206,0.35715416158071295,0.48468593422736433
16,0.1,0.41071193462353417,0.5501931283454627,
17,0.1,0.28489182426990295,0.43118934336659714,0.09075230972168749
21,0.1,0.22007744311633762,0.26684262448742574,-0.053519745441259634
26,0.1,0.3658687794398533,0.397524030229271,0.6555559082040452
61,0.1,0.5537994150803502,0.6337167806703705,0.2826193960147943
62,0.1,0.4800697130298318,0.09023225470642601,
64,0.1,0.4000802747130616,0.014869003294384025,
65,0.1,0.18896437185136905,0.238065622156948,1.0
66,0.1,0.1061041629690364,0.3303938571356191,-0.7188381547561504
67,0.1,0.3449515866456087,-0.6008039466455617,
68,0.1,0.2797777764207043,0.1880680185269443,0.997478449403209
69,0.1,0.4800234647824468,0.3126030399604826,0.09078720178964478
70,0.1,0.1361076296721961,0.6781162261472962,
71,0.1,0.2738351206834059,0.4172999970034929,0.4539016344454716
72,0.1,0.40322342194550814,0.6313931758614335,-0.289804063738558
73,0.1,0.4353931124228313,0.09558687567172898,
74,0.1,0.19799618242357053,-0.13779739052448112,
75,0.1,0.29228090238243465,0.2750411190489807,-0.1704345044389432
76,0.1,0.40558121617957943,0.478735478637649,0.6791425865956291
79,0.1,0.23637867731458803,-0.2365780404461284,
80,0.1,0.2712317247333407,0.3404433952142889,0.5828331226281269
81,0.1,0.19193254917725677,0.20360369990143648,0.6068218908009178
82,0.1,0.3055936662638766,0.5242342170548172,0.017145464726621026
83,0.1,0.2586157949473671,0.34723555366966874,0.779099400551504
84,0.1,0.13944413254665863,0.23157064104336375,0.20174330314191607
85,0.1,0.20745071938760093,0.2673380770703211,0.2214795682903881
92,0.1,0.3448940559167095,0.4382862731688386,0.2989016161188738
95,0.1,0.19263328427934967,0.002992445806361382,
96,0.1,-0.018129951127527882,-0.5327175389438941,
97,0.1,0.14559260520606374,0.6221824748099656,
99,0.1,0.6107137500385905,0.7241930341589138,
100,0.1,0.4973185507864685,0.6515444340718237,0.8460469619853143
104,0.1,0.5070157998254458,0.6068044785167603,0.8626592585899399
105,0.1,0.2855005546459596,0.47722789567190776,
107,0.1,0.53566178195975,0.674897525100982,0.9806874519165387
108,0.1,0.6506591727400038,0.8266200372868974,
109,0.1,0.5616424438516081,0.621582465039609,0.6295898498214124
110,0.1,-0.0653022040013457,-0.2354340549398491,
111,0.1,0.08290476407190868,-0.028030055610305353,
112,0.1,0.5902642425047305,,
113,0.1,0.19803271688012342,,
114,0.1,0.305264449451531,,
115,0.1,0.018661026821838227,,
116,0.1,0.44014266447338274,,
117,0.1,-0.13214494223108997,,
118,0.1,-0.08292127791215624,,
119,0.1,0.3107182790996022,,
